# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		123290		2731		2051
1		122914		5462		2049
2		122779		8193		2059
3		123380		10924		2053
4		123241		13655		2043
5		123016		16386		2018
6		123346		19117		2068
7		123281		21848		2060
8		123072		24579		2035
9		123219		27310		2041
10		123214		30041		2036
11		123222		32772		2025
12		123202		35503		2031
13		122900		38234		2072
14		122875		40965		2035
15		123139		43696		2043
16		123456		46427		2097
17		123109		49158		2065
18		123492		51889		2050
19		123183		54620		2018
20		123019		57350		2044
21		123247		60081		2069
22		122889		62812		2077
23		123119		65543		2055
24		123051		68274		2027
25		123251		71005		2011
26		122827		73736		2042
27		122960		76467		2028
28		122941		79198		2104
29		122835		81929		2047
30		123423		84660		2045
31		123064		87391		2063
32		123329		90122		2035
33		123058		92853		2062
34		123178		95584		2042
35		122894		98315		2016
36		123127		101046		2030
37		123071		103777		2032
38		122713		106508		2023
39		123038		109239		2066
40		123256		111970		2033
41		122926		114701		2090
42		122993		117432		2046
43		123124		120163		2029
44		123046		122894		2042
45		123154		125625		2037
46		123255		128356		2049
47		123239		131087		2089
48		122804		133818		2066
49		123234		136549		2039
50		123160		139280		2043
51		122924		142011		2001
52		123021		144742		2012
53		122964		147473		1998
54		123136		150204		2063
55		122970		152935		2068
56		123097		155666		2044
57		123426		158397		2019
58		123117		161128		2038
59		122909		163859		2057
60		122757		166590		2069
61		123131		169321		2042
62		123096		172052		2029
63		123167		174783		2040
64		123056		177514		2065
65		122647		180245		2069
66		123300		182976		2065
67		123166		185707		2041
68		123526		188438		2047
69		122934		191169		2059
70		123290		193900		2045
71		122965		196631		2053
72		123143		199362		2041
73		123067		202093		2079
74		122809		204824		2060
75		122662		207555		2059
76		123088		210286		2039
77		122904		213017		2062
78		123154		215748		2060
79		123065		218479		2098
80		123108		221210		2053
81		123362		223941		2061
82		123081		226672		2042
83		122960		229403		2031
84		123050		232134		2067
85		122942		234865		2019
86		123093		237596		2038
87		123058		240327		2024
88		123238		243058		2030
89		123087		245789		2071
90		123402		248520		2050
91		123202		251251		2079
92		122873		253982		2031
93		123131		256713		2010
94		123157		259444		2035
95		123125		262175		2061
96		122847		264906		2020
97		123233		267637		2033
98		123360		270368		2041
99		123220		273099		2010
100		123098		275830		2043
101		123271		278561		2053
102		123138		281292		2055
103		123440		284023		2036
104		122934		286754		2062
105		123030		289485		2078
106		122726		292216		2050
107		123311		294947		2047
108		123017		297678		2055
109		123018		300409		2053
110		122889		303139		2052
111		123012		305870		2033
112		123171		308601		2047
113		123228		311332		2079
114		123122		314063		2034
115		123261		316794		2048
116		123108		319525		2043
117		122723		322256		2055
118		123222		324987		2020
119		123149		327718		2096
120		123077		330449		2038
121		123251		333180		2052
122		123280		335911		2069
123		123317		338642		2056
124		123150		341373		2026
125		123069		344104		2020
126		122775		346834		2049
127		123038		349564		2015
128		123497		352295		2062
129		122725		355026		2032
130		123151		357757		2011
131		122911		360488		2033
132		123137		363219		2011
133		123468		365950		2067
134		122988		368681		2008
135		122691		371412		2048
136		123440		374143		2000
137		123187		376874		2039
138		123029		379605		2050
139		123055		382336		2068
140		123427		385067		2072
141		123128		387798		2060
142		123071		390529		2091
143		123277		393260		2056
144		123187		395991		2032
145		123209		398722		2039
146		123299		401453		2066
147		123183		404184		2059
148		122916		406915		2039
149		122791		409646		2044
150		123104		412377		2037
151		123294		415108		2019
152		123131		417839		2028
153		123315		420570		2039
154		122939		423301		2009
155		123591		426032		2044
156		123241		428763		2007
157		123206		431494		2043
158		123172		434225		2032
159		123384		436956		2032
160		123286		439687		2089
161		123107		442418		2039
162		123237		445148		2048
163		122848		447879		2085
164		123196		450610		2029
165		123418		453341		2046
166		123170		456072		2073
167		122889		458803		2005
168		123406		461534		2041
169		123332		464265		2048
170		122942		466996		2057
171		123100		469727		2021
172		123459		472458		2031
173		122693		475189		2069
174		123090		477919		2072
